PQGram,Count
"{script}|show",5
stage:userDef|sprite:userDef|{script}|doIf|*|*,5
"{script}|hide",3
list|reportJoinWords|{list}|var:userDef,4
script|{doSayFor}|literal:userDef|literal:userDef|*|*,20
sprite:userDef|script|{receiveMessage}|literal:userDef|*|*|*,21
script|{doBroadcast}|*|literal:userDef|*|*,9
doTellTo|reifyScript|{script}|doSwitchToCostume|*,1
"*|snapshot|{stage:userDef}|script",1
"{script}|doSwitchToCostume|changeScale|doRepeat|changeScale",1
reportEquals|{reportSum}|*|var:userDef,13
"{doIf}|reportAnd",1
script|{doForever}|script|*,2
sprite:userDef|{script}|*|*|*|receiveGo,5
script|{receiveMessage}|literal:userDef|*,9
"{script}|*|receiveMessage",4
"{reportEquals}|getLastAnswer",7
stage:userDef|{script}|receiveMessage|doSwitchToCostume|*|*,8
script|{doIf}|script|*|*|*,7
"*|{snapshot}|varDec:userDef",7
stage:userDef|sprite:userDef|{script}|*|receiveGo|hide,1
script|{doBroadcast}|literal:userDef|*,13
list|reportJoinWords|{list}|*|*|literal:userDef,3
sprite:userDef|script|{doSayFor}|literal:userDef|literal:userDef|*,10
script|doIf|{script}|doSayFor|doChangeVar|doIf|*,1
doSetVar|{reportRandom}|*|*|literal:userDef,4
doAsk|reportJoinWords|{list}|reportJoinWords,5
"{reportSum}|var:userDef|*|*|*",7
script|doAsk|{reportJoinWords}|list,6
"{doSwitchToCostume}|*|literal:userDef|*",17
"{doSetVar}|reportRandom",10
sprite:userDef|script|{receiveMessage}|literal:userDef|*,10
sprite:userDef|{script}|receiveKey|doForever|*|*,1
stage:userDef|sprite:userDef|{script}|*|*|receiveKey|doShowVar,1
doIf|{script}|doSayFor,3
reportEquals|{reportSum}|var:userDef|*|*,17
"{reportAnd}|reportLessThan|reportLessThan|*|*",2
"{doSwitchToCostume}|literal:userDef|*|*|*",5
"{doSwitchToCostume}|literal:userDef|*|*",15
script|{receiveMessage}|literal:userDef|*|*|*,25
"{sprite:userDef}|script",19
doForever|script|{doIf}|reportEquals,1
stage:userDef|{sprite:userDef}|script|script,37
"{doTellTo}|list|*",1
script|doIf|{reportNot}|reportEquals|*,1
sprite:userDef|{script}|doUntil|doIf|*,4
doSetVar|{reportRandom}|*|literal:userDef,1
doIf|{script}|doBroadcast|*|*,5
reportNot|reportEquals|{reportSum}|*|*|var:userDef|var:userDef,3
stage:userDef|sprite:userDef|{script}|doUntil|doIf,3
snapshot|stage:userDef|{script}|receiveMessage,1
stage:userDef|sprite:userDef|{script}|*|*|receiveMessage,18
script|{doSetVar}|*|*|*|varMenu:userDef,7
script|{doAsk}|*|reportJoinWords,1
"{receiveMessage}|*|literal:userDef",19
