name,id,supportA,supportB,jdYes,jdNo,confidenceYes
"0.36: [doIfElse, reportLessThan, {var:userDef}, *]",221,0.36470588235294116,0.18090452261306533,-1.0,-1.0,-1.0
"0.22: [reportAnd, reportEquals, {var:userDef}, *]",222,0.2235294117647059,0.1306532663316583,-1.0,-1.0,-1.0
"0.51: [doIf, reportEquals, {var:userDef}, *]",223,0.5117647058823529,0.27638190954773867,-1.0,-1.0,-1.0
"0.29: [script, doSetVar, {var:userDef}, *]",224,0.28823529411764703,0.1457286432160804,-1.0,-1.0,-1.0
"0.13: [script, doAddToList, {var:userDef}, *]",225,0.12941176470588237,0.135678391959799,-1.0,-1.0,-1.0
"0.12: [reportJoinWords, list, {var:userDef}, *]",226,0.12352941176470589,0,-1.0,-1.0,-1.0
"0.40: [stage:Stage, sprite:userDef, {varDec:userDef}, *]",227,0.4,0.2663316582914573,-1.0,-1.0,-1.0
"0.18: [sprite:userDef, customBlock:userDef, {varDec:userDef}, *]",228,0.18235294117647058,0.12562814070351758,-1.0,-1.0,-1.0
"0.24: [script, doSetVar, {varMenu:rotation style}, *]",229,0.2411764705882353,0,-1.0,-1.0,-1.0
"0.33: [script, doHideVar, {varMenu:userDef}, *]",230,0.32941176470588235,0.24120603015075376,-1.0,-1.0,-1.0
"0.29: [script, doShowVar, {varMenu:userDef}, *]",231,0.28823529411764703,0.24120603015075376,-1.0,-1.0,-1.0
"0.84: [script, doChangeVar, {varMenu:userDef}, *]",232,0.8411764705882353,0.5527638190954773,-1.0,-1.0,-1.0
"0.86: [script, doSetVar, {varMenu:userDef}, *]",233,0.8647058823529412,0.5979899497487438,-1.0,-1.0,-1.0
"0.10: [script, doSetVar, {xPosition}, *]",234,0.1,0,-1.0,-1.0,-1.0
